,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,73.91644000000001,72.7
1,2020-02-07,2020-03-06,73.88535,71.8
2,2020-02-10,2020-03-09,73.78838,72.4
3,2020-02-11,2020-03-10,73.710464,72.9
4,2020-02-12,2020-03-11,73.66508499999999,70.3
5,2020-02-13,2020-03-12,73.518394,68.2
6,2020-02-14,2020-03-13,73.17705500000001,66.3
7,2020-02-17,2020-03-16,72.81634,64.9
8,2020-02-18,2020-03-17,72.35401,61.9
9,2020-02-19,2020-03-18,71.787834,62.90000000000001
10,2020-02-20,2020-03-19,71.188255,65.0
11,2020-02-21,2020-03-20,70.68188,62.6
12,2020-02-24,2020-03-23,70.121544,66.6
13,2020-02-25,2020-03-24,69.71996999999999,66.6
14,2020-02-26,2020-03-25,69.43176,65.8
15,2020-02-27,2020-03-26,69.142975,64.1
16,2020-03-02,2020-03-27,68.775764,63.8
17,2020-03-03,2020-03-30,68.29471,65.6
18,2020-03-04,2020-03-31,67.87558,65.1
19,2020-03-05,2020-04-01,67.49895500000001,69.0
20,2020-03-06,2020-04-06,67.35831,69.0
21,2020-03-09,2020-04-07,67.39811,70.2
22,2020-03-10,2020-04-08,67.56264499999999,69.6
23,2020-03-11,2020-04-09,67.78559,69.0
24,2020-03-12,2020-04-10,67.9831,68.1
25,2020-03-13,2020-04-13,68.11293,68.1
26,2020-03-16,2020-04-14,68.18649,68.0
27,2020-03-17,2020-04-15,68.244125,67.5
28,2020-03-18,2020-04-16,68.23428,67.8
29,2020-03-19,2020-04-17,68.21435,67.8
30,2020-03-20,2020-04-20,68.188576,66.0
31,2020-03-23,2020-04-21,68.113045,67.1
32,2020-03-24,2020-04-22,68.02497,67.9
33,2020-03-25,2020-04-23,68.020485,66.6
34,2020-03-26,2020-04-24,68.005844,67.7
35,2020-03-27,2020-04-27,68.02703000000001,68.3
36,2020-03-30,2020-04-28,68.082504,69.0
37,2020-03-31,2020-04-29,68.18387,69.5
38,2020-04-01,2020-04-30,68.34082,68.3
39,2020-04-06,2020-05-04,68.40558,70.0
40,2020-04-07,2020-05-05,68.51808,69.7
41,2020-04-08,2020-05-06,68.64733000000001,70.1
42,2020-04-09,2020-05-07,68.809875,70.9
43,2020-04-10,2020-05-08,69.02328,71.0
44,2020-04-13,2020-05-11,69.25896999999999,69.4
45,2020-04-14,2020-05-12,69.40326,70.4
46,2020-04-15,2020-05-13,69.54736,70.0
47,2020-04-16,2020-05-14,69.68939,69.1
48,2020-04-17,2020-05-15,69.79302,69.8
49,2020-04-20,2020-05-18,69.885056,70.2
50,2020-04-21,2020-05-19,70.01798000000001,71.3
51,2020-04-22,2020-05-20,70.186584,72.3
52,2020-04-23,2020-05-21,70.427246,71.9
53,2020-04-24,2020-05-22,70.68696,71.8
54,2020-04-27,2020-05-25,70.88356999999999,72.3
55,2020-04-28,2020-05-26,71.08359,72.4
56,2020-04-29,2020-05-27,71.27388,71.5
57,2020-04-30,2020-05-28,71.42129,72.8
58,2020-05-04,2020-05-29,71.578514,73.4
59,2020-05-05,2020-06-01,71.76545,73.5
60,2020-05-06,2020-06-02,71.970924,74.3
61,2020-05-07,2020-06-03,72.21048,74.6
