,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,27.8048,28.1
1,2020-02-07,2020-03-06,27.799868,27.6
2,2020-02-10,2020-03-09,27.698513000000002,27.1
3,2020-02-11,2020-03-10,27.503574,27.2
4,2020-02-12,2020-03-11,27.297204999999998,25.3
5,2020-02-13,2020-03-12,26.852204999999998,23.9
6,2020-02-14,2020-03-13,26.02595,23.25
7,2020-02-17,2020-03-16,25.176485,22.65
8,2020-02-18,2020-03-17,24.503126,22.15
9,2020-02-19,2020-03-18,24.002546,21.15
10,2020-02-20,2020-03-19,23.52929,21.85
11,2020-02-21,2020-03-20,23.17118,20.5
12,2020-02-24,2020-03-23,22.8685,21.35
13,2020-02-25,2020-03-24,22.6409,22.45
14,2020-02-26,2020-03-25,22.497097,22.65
15,2020-02-27,2020-03-26,22.409485,22.65
16,2020-03-02,2020-03-27,22.359562,22.6
17,2020-03-03,2020-03-30,22.323042,22.55
18,2020-03-04,2020-03-31,22.296988,22.5
19,2020-03-05,2020-04-01,22.277310999999997,23.05
20,2020-03-06,2020-04-06,22.274662,23.55
21,2020-03-09,2020-04-07,22.30121,23.85
22,2020-03-10,2020-04-08,22.363802,24.1
23,2020-03-11,2020-04-09,22.469603,24.7
24,2020-03-12,2020-04-10,22.64225,25.2
25,2020-03-13,2020-04-13,22.868748,25.1
26,2020-03-16,2020-04-14,23.111385000000002,25.3
27,2020-03-17,2020-04-15,23.3765,24.75
28,2020-03-18,2020-04-16,23.603703,24.85
29,2020-03-19,2020-04-17,23.780434,24.65
30,2020-03-20,2020-04-20,23.837423,23.95
31,2020-03-23,2020-04-21,23.822548,23.85
32,2020-03-24,2020-04-22,23.710712,23.9
33,2020-03-25,2020-04-23,23.593977,23.75
34,2020-03-26,2020-04-24,23.496462,24.75
35,2020-03-27,2020-04-27,23.453960000000002,24.9
36,2020-03-30,2020-04-28,23.471846,25.1
37,2020-03-31,2020-04-29,23.531576,26.0
38,2020-04-01,2020-04-30,23.663122,25.5
39,2020-04-06,2020-05-04,23.807667000000002,28.05
40,2020-04-07,2020-05-05,24.165054,28.25
41,2020-04-08,2020-05-06,24.749899,27.35
42,2020-04-09,2020-05-07,25.310665,27.25
43,2020-04-10,2020-05-08,25.774189,27.25
44,2020-04-13,2020-05-11,26.106973999999997,26.85
45,2020-04-14,2020-05-12,26.22813,26.6
46,2020-04-15,2020-05-13,26.176579999999998,26.65
47,2020-04-16,2020-05-14,26.05521,26.4
48,2020-04-17,2020-05-15,25.904505,26.95
49,2020-04-20,2020-05-18,25.829258,27.4
50,2020-04-21,2020-05-19,25.890863,27.6
51,2020-04-22,2020-05-20,26.061617000000002,27.5
52,2020-04-23,2020-05-21,26.283531,26.85
53,2020-04-24,2020-05-22,26.421053000000004,26.9
54,2020-04-27,2020-05-25,26.453979999999998,27.3
55,2020-04-28,2020-05-26,26.475468,27.3
