,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,62.238335,61.79999999999999
1,2020-02-07,2020-03-06,62.197414,60.5
2,2020-02-10,2020-03-09,61.12915400000001,60.5
3,2020-02-11,2020-03-10,60.524174,60.7
4,2020-02-12,2020-03-11,60.763573,58.79999999999999
5,2020-02-13,2020-03-12,59.599476,60.6
6,2020-02-14,2020-03-13,58.067577,57.3
7,2020-02-17,2020-03-16,57.634530000000005,56.2
8,2020-02-18,2020-03-17,56.595257,55.00000000000001
9,2020-02-19,2020-03-18,55.98327,51.7
10,2020-02-20,2020-03-19,53.86983000000001,54.8
11,2020-02-21,2020-03-20,53.47665,52.6
12,2020-02-24,2020-03-23,53.697292000000004,57.3
13,2020-02-25,2020-03-24,55.160895999999994,59.6
14,2020-02-26,2020-03-25,57.601753,60.1
15,2020-02-27,2020-03-26,59.51938199999999,60.2
16,2020-03-02,2020-03-27,60.483578,59.6
17,2020-03-03,2020-03-30,60.148433999999995,60.2
18,2020-03-04,2020-03-31,60.240128000000006,59.7
19,2020-03-05,2020-04-01,60.296967,62.8
20,2020-03-06,2020-04-06,61.5668,62.8
21,2020-03-09,2020-04-07,62.67951,62.5
22,2020-03-10,2020-04-08,62.92748,61.79999999999999
23,2020-03-11,2020-04-09,62.783363,61.79999999999999
24,2020-03-12,2020-04-10,62.535743999999994,61.9
25,2020-03-13,2020-04-13,62.463455,63.7
26,2020-03-16,2020-04-14,63.081196,63.4
27,2020-03-17,2020-04-15,63.496635,63.1
28,2020-03-18,2020-04-16,63.233612,62.8
29,2020-03-19,2020-04-17,62.857063000000004,63.1
30,2020-03-20,2020-04-20,62.944336,62.2
31,2020-03-23,2020-04-21,62.5587,62.0
32,2020-03-24,2020-04-22,62.25386999999999,62.9
33,2020-03-25,2020-04-23,62.564696999999995,62.4
34,2020-03-26,2020-04-24,62.79755,62.5
35,2020-03-27,2020-04-27,62.811209999999996,62.8
36,2020-03-30,2020-04-28,62.96708,63.2
37,2020-03-31,2020-04-29,63.376823,64.9
38,2020-04-01,2020-04-30,64.18993,64.0
39,2020-04-06,2020-05-04,64.22699,64.0
40,2020-04-07,2020-05-05,64.20805,64.5
41,2020-04-08,2020-05-06,64.25779,64.5
42,2020-04-09,2020-05-07,64.50381999999999,64.9
43,2020-04-10,2020-05-08,64.99731,65.9
44,2020-04-13,2020-05-11,65.637436,65.6
45,2020-04-14,2020-05-12,65.65191999999999,65.5
46,2020-04-15,2020-05-13,65.5496,65.0
47,2020-04-16,2020-05-14,65.47156,65.2
48,2020-04-17,2020-05-15,65.53304,66.5
49,2020-04-20,2020-05-18,66.1071,68.3
50,2020-04-21,2020-05-19,67.46843,68.3
51,2020-04-22,2020-05-20,68.30429000000001,69.8
52,2020-04-23,2020-05-21,69.16779,68.7
53,2020-04-24,2020-05-22,69.25871,69.0
54,2020-04-27,2020-05-25,68.848946,69.5
55,2020-04-28,2020-05-26,69.23935,69.0
56,2020-04-29,2020-05-27,69.3075,69.5
57,2020-04-30,2020-05-28,69.49071500000001,70.0
58,2020-05-04,2020-05-29,69.91991999999999,69.9
59,2020-05-05,2020-06-01,70.15286,69.9
60,2020-05-06,2020-06-02,70.20237,70.1
61,2020-05-07,2020-06-03,70.37954,71.5
62,2020-05-08,2020-06-04,71.15393,72.0
63,2020-05-11,2020-06-05,71.859436,70.8
64,2020-05-12,2020-06-08,70.35542,70.8
65,2020-05-13,2020-06-09,70.14045,69.8
66,2020-05-14,2020-06-10,70.4909,69.7
67,2020-05-15,2020-06-11,70.34727,67.8
68,2020-05-18,2020-06-12,68.615105,67.0
69,2020-05-19,2020-06-15,67.48039,68.0
70,2020-05-20,2020-06-16,67.91615,68.1
71,2020-05-21,2020-06-17,68.46449,68.8
72,2020-05-22,2020-06-18,68.71996,69.6
73,2020-05-25,2020-06-19,69.46956999999999,70.0
74,2020-05-26,2020-06-22,69.96023000000001,70.0
75,2020-05-27,2020-06-23,70.15171,70.9
76,2020-05-28,2020-06-24,70.65594,70.9
77,2020-05-29,2020-06-29,70.72998,71.0
78,2020-06-01,2020-06-30,70.96276999999999,71.6
79,2020-06-02,2020-07-01,71.41275,72.6
80,2020-06-03,2020-07-02,72.17227,74.0
81,2020-06-04,2020-07-03,73.18916999999999,75.4
82,2020-06-05,2020-07-06,74.33681999999999,75.8
83,2020-06-08,2020-07-07,75.24715,76.7
84,2020-06-09,2020-07-08,76.10632,76.7
85,2020-06-10,2020-07-09,76.75624,77.0
86,2020-06-11,2020-07-10,76.3034,77.8
87,2020-06-12,2020-07-13,76.93509,77.5
88,2020-06-15,2020-07-14,77.114586,78.7
89,2020-06-16,2020-07-15,77.83147,78.0
90,2020-06-17,2020-07-16,78.0672,78.0
91,2020-06-18,2020-07-17,78.176895,79.0
92,2020-06-19,2020-07-20,78.636284,79.9
93,2020-06-22,2020-07-21,79.33716,82.0
94,2020-06-23,2020-07-22,80.39173000000001,82.0
95,2020-06-24,2020-07-23,81.07881,79.9
96,2020-06-29,2020-07-24,80.037964,79.8
97,2020-06-30,2020-07-27,80.0067,79.7
98,2020-07-01,2020-07-28,79.85444,80.6
99,2020-07-02,2020-07-29,80.24324,82.1
100,2020-07-03,2020-07-30,81.11307,81.8
101,2020-07-06,2020-07-31,81.33600600000001,73.6
102,2020-07-07,2020-08-03,74.63803,75.3
103,2020-07-08,2020-08-04,74.746185,77.4
104,2020-07-09,2020-08-05,77.37759399999999,76.2
105,2020-07-10,2020-08-06,77.244514,76.0
106,2020-07-13,2020-08-07,76.30119,76.3
107,2020-07-14,2020-08-10,76.55056,75.3
108,2020-07-15,2020-08-11,75.94813,74.2
109,2020-07-16,2020-08-12,74.61254,75.0
110,2020-07-17,2020-08-13,74.82486999999999,81.0
111,2020-07-20,2020-08-14,77.720215,84.3
112,2020-07-21,2020-08-17,80.61169,82.2
113,2020-07-22,2020-08-18,81.17019,81.5
114,2020-07-23,2020-08-19,81.07063000000001,78.9
