,stock_id,date,ADXR
0,6669,2020-03-05,35.92460100101336
1,6669,2020-03-06,35.20298115568021
2,6669,2020-03-09,33.82291096070672
3,6669,2020-03-10,32.883852422497114
4,6669,2020-03-11,32.1218642448182
5,6669,2020-03-12,32.13271812427797
6,6669,2020-03-13,32.345217989828164
7,6669,2020-03-16,32.04610121920935
8,6669,2020-03-17,31.845612927510604
9,6669,2020-03-18,31.100346024807145
10,6669,2020-03-19,30.938070683937
11,6669,2020-03-20,30.722898326255866
12,6669,2020-03-23,30.603944788611923
13,6669,2020-03-24,30.0714790755244
14,6669,2020-03-25,29.382687937323105
15,6669,2020-03-26,28.361870461605243
16,6669,2020-03-27,27.32181496480405
17,6669,2020-03-30,26.30091132805239
18,6669,2020-03-31,25.729678735149573
19,6669,2020-04-01,25.74229981569014
20,6669,2020-04-06,25.36702408225945
21,6669,2020-04-07,25.120115169732635
22,6669,2020-04-08,24.78512209851996
23,6669,2020-04-09,25.10247207137741
24,6669,2020-04-10,25.76203221876513
25,6669,2020-04-13,26.626626437127943
26,6669,2020-04-14,26.53153838376537
27,6669,2020-04-15,26.229546061081223
28,6669,2020-04-16,26.053947501954227
29,6669,2020-04-17,25.8693084740571
30,6669,2020-04-20,25.79095005260728
31,6669,2020-04-21,25.402289768619283
32,6669,2020-04-22,25.13060366108522
33,6669,2020-04-23,24.11747176276839
34,6669,2020-04-24,23.03645709828163
35,6669,2020-04-27,21.734128798567333
36,6669,2020-04-28,20.784394696418108
37,6669,2020-04-29,20.407639965924
38,6669,2020-04-30,20.962840779003287
39,6669,2020-05-04,21.47838439114834
40,6669,2020-05-05,22.06705594903608
41,6669,2020-05-06,22.68230595914733
42,6669,2020-05-07,23.62010531094557
43,6669,2020-05-08,24.54411115277245
44,6669,2020-05-11,25.94044075760404
45,6669,2020-05-12,27.40838204061261
46,6669,2020-05-13,28.015203623362453
47,6669,2020-05-14,28.090946423562865
48,6669,2020-05-15,27.96847056492443
49,6669,2020-05-18,28.23754651681896
50,6669,2020-05-19,28.74203861608352
51,6669,2020-05-20,29.83647200379448
52,6669,2020-05-21,30.85273157809751
53,6669,2020-05-22,31.736711884606827
54,6669,2020-05-25,32.557550740651195
55,6669,2020-05-26,33.72419738935346
56,6669,2020-05-27,34.77318737320145
57,6669,2020-05-28,35.83256105769514
58,6669,2020-05-29,35.84440881585151
59,6669,2020-06-01,35.650462995810244
60,6669,2020-06-02,35.26296192819268
61,6669,2020-06-03,34.95416131753619
62,6669,2020-06-04,34.858739715950165
63,6669,2020-06-05,35.140329515435866
64,6669,2020-06-08,35.08889433976582
65,6669,2020-06-09,34.71729254470228
66,6669,2020-06-10,34.48044716282408
67,6669,2020-06-11,34.17767565097502
68,6669,2020-06-12,33.655715013003075
69,6669,2020-06-15,33.31280911479501
70,6669,2020-06-16,32.581653356298055
71,6669,2020-06-17,31.011597142008345
72,6669,2020-06-18,29.5536878001679
73,6669,2020-06-19,28.58567684041765
74,6669,2020-06-22,27.67710282909937
75,6669,2020-06-23,26.26396217987504
76,6669,2020-06-24,25.27549073291424
77,6669,2020-06-29,24.124084553627384
78,6669,2020-06-30,22.73108111234824
79,6669,2020-07-01,22.634155723741927
80,6669,2020-07-02,22.46130991993104
81,6669,2020-07-03,21.36910070706061
82,6669,2020-07-06,20.584195194408032
83,6669,2020-07-07,19.972786952288946
84,6669,2020-07-08,19.631359679657745
85,6669,2020-07-09,19.76689091160169
86,6669,2020-07-10,19.506162492389343
87,6669,2020-07-13,19.203329030867856
88,6669,2020-07-14,18.420435747208906
89,6669,2020-07-15,17.51955022972585
90,6669,2020-07-16,16.35768181973025
91,6669,2020-07-17,15.387233717745
92,6669,2020-07-20,15.60495425870202
93,6669,2020-07-21,15.971590476659667
94,6669,2020-07-22,16.215062235897708
95,6669,2020-07-23,16.483144470948154
96,6669,2020-07-24,16.05225390062698
97,6669,2020-07-27,15.715582890552716
98,6669,2020-07-28,15.730837456460453
99,6669,2020-07-29,15.351171489461889
100,6669,2020-07-30,14.978800926188896
101,6669,2020-07-31,14.683948184411452
102,6669,2020-08-03,14.057636006876145
103,6669,2020-08-04,13.245640438472645
104,6669,2020-08-05,12.804457419743258
105,6669,2020-08-06,12.541588913467976
106,6669,2020-08-07,12.526730901731096
107,6669,2020-08-10,13.698514414493346
108,6669,2020-08-11,14.828600420673416
109,6669,2020-08-12,14.77542069252455
110,6669,2020-08-13,14.806249592061087
111,6669,2020-08-14,14.626996244351131
112,6669,2020-08-17,14.904969755358586
113,6669,2020-08-18,15.2318699778276
114,6669,2020-08-19,15.567816061852191
115,6669,2020-08-20,14.63393417207881
116,6669,2020-08-21,13.766758131574957
117,6669,2020-08-24,13.653343274203628
118,6669,2020-08-25,13.543415606378655
119,6669,2020-08-26,13.593047082944436
120,6669,2020-08-27,14.805040224567492
121,6669,2020-08-28,15.930462427503183
122,6669,2020-08-31,16.058362338607363
123,6669,2020-09-01,15.941550186107849
124,6669,2020-09-02,15.984015109425329
125,6669,2020-09-03,15.997751942056908
126,6669,2020-09-04,16.45329323104665
127,6669,2020-09-07,17.710230900858413
128,6669,2020-09-08,18.00879912878809
129,6669,2020-09-09,18.28604105472279
130,6669,2020-09-10,18.984452090218863
131,6669,2020-09-11,19.761022072163044
132,6669,2020-09-14,20.29584113928717
133,6669,2020-09-15,20.968088694441875
134,6669,2020-09-16,21.215241645118965
135,6669,2020-09-17,20.873163946855065
136,6669,2020-09-18,20.304321467247725
137,6669,2020-09-21,19.57507407260096
138,6669,2020-09-22,18.695236280437868
