,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,372.374,378.5
1,2020-02-07,2020-03-06,375.7009,366.5
2,2020-02-10,2020-03-09,373.10175,373.5
3,2020-02-11,2020-03-10,369.1182,363.0
4,2020-02-12,2020-03-11,365.82272,336.0
5,2020-02-13,2020-03-12,358.43542,341.0
6,2020-02-14,2020-03-13,345.62646,320.0
7,2020-02-17,2020-03-16,333.11438,315.5
8,2020-02-18,2020-03-17,322.64007999999995,301.5
9,2020-02-19,2020-03-18,315.13202,274.0
10,2020-02-20,2020-03-19,305.19424,301.0
11,2020-02-21,2020-03-20,298.45267,308.0
12,2020-02-24,2020-03-23,299.36325,330.0
13,2020-02-25,2020-03-24,309.97812000000005,334.5
14,2020-02-26,2020-03-25,325.60666000000003,343.5
15,2020-02-27,2020-03-26,334.21848,340.0
16,2020-03-02,2020-03-27,339.26342999999997,336.5
17,2020-03-03,2020-03-30,335.75513,327.5
18,2020-03-04,2020-03-31,330.93314,334.0
19,2020-03-05,2020-04-01,327.19772,341.0
20,2020-03-06,2020-04-06,330.0801,347.0
21,2020-03-09,2020-04-07,337.63113,349.5
22,2020-03-10,2020-04-08,343.75982999999997,351.5
23,2020-03-11,2020-04-09,348.2016,350.0
24,2020-03-12,2020-04-10,349.27344,351.5
25,2020-03-13,2020-04-13,348.8555,365.5
26,2020-03-16,2020-04-14,352.40887000000004,365.5
27,2020-03-17,2020-04-15,357.73172,361.5
28,2020-03-18,2020-04-16,360.1539,368.0
29,2020-03-19,2020-04-17,364.54245,370.0
30,2020-03-20,2020-04-20,366.4049,353.5
31,2020-03-23,2020-04-21,364.0622,346.00000000000006
32,2020-03-24,2020-04-22,356.79947000000004,351.0
33,2020-03-25,2020-04-23,350.13852,348.5
34,2020-03-26,2020-04-24,347.00302,372.0
35,2020-03-27,2020-04-27,353.21188,375.0
36,2020-03-30,2020-04-28,362.53612999999996,398.0
37,2020-03-31,2020-04-29,380.06967000000003,415.0
38,2020-04-01,2020-04-30,395.42812999999995,399.5
39,2020-04-06,2020-05-04,397.80194,401.5
40,2020-04-07,2020-05-05,394.42917,408.0
41,2020-04-08,2020-05-06,394.02115,411.0
42,2020-04-09,2020-05-07,398.22192,411.5
43,2020-04-10,2020-05-08,403.9144,410.0
44,2020-04-13,2020-05-11,407.40146,407.0
45,2020-04-14,2020-05-12,406.8587,420.0
46,2020-04-15,2020-05-13,408.33713,411.0
47,2020-04-16,2020-05-14,409.20844,411.0
48,2020-04-17,2020-05-15,408.7676,440.5
49,2020-04-20,2020-05-18,422.6011,462.0
50,2020-04-21,2020-05-19,440.93699999999995,470.0
51,2020-04-22,2020-05-20,454.16544000000005,464.5
52,2020-04-23,2020-05-21,456.70425,442.0
53,2020-04-24,2020-05-22,448.64367999999996,460.0
54,2020-04-27,2020-05-25,443.88122999999996,460.0
55,2020-04-28,2020-05-26,445.5151,464.5
56,2020-04-29,2020-05-27,451.35056,460.0
57,2020-04-30,2020-05-28,456.0121,463.0
58,2020-05-04,2020-05-29,456.92148,461.5
59,2020-05-05,2020-06-01,456.99285999999995,485.0
60,2020-05-06,2020-06-02,465.46265,490.0
61,2020-05-07,2020-06-03,474.13696,490.0
62,2020-05-08,2020-06-04,478.09677,494.0
63,2020-05-11,2020-06-05,481.1256,494.5
64,2020-05-12,2020-06-08,484.1774,497.5
65,2020-05-13,2020-06-09,485.2231,500.0
66,2020-05-14,2020-06-10,487.15942,496.5
67,2020-05-15,2020-06-11,490.2294,492.5
68,2020-05-18,2020-06-12,486.69894000000005,492.5
69,2020-05-19,2020-06-15,486.0296,510.0
70,2020-05-20,2020-06-16,489.61105,510.0
71,2020-05-21,2020-06-17,495.96362,513.0
72,2020-05-22,2020-06-18,501.30782999999997,546.0
73,2020-05-25,2020-06-19,514.3901400000001,576.0
74,2020-05-26,2020-06-22,531.8888,574.0
75,2020-05-27,2020-06-23,546.0112,580.0
76,2020-05-28,2020-06-24,551.3725599999999,565.0
77,2020-05-29,2020-06-29,549.14386,579.0
78,2020-06-01,2020-06-30,548.9877299999999,577.0
79,2020-06-02,2020-07-01,554.3358,574.0
80,2020-06-03,2020-07-02,557.42584,585.0
81,2020-06-04,2020-07-03,560.81903,589.0
82,2020-06-05,2020-07-06,564.70685,618.0
83,2020-06-08,2020-07-07,577.3992,661.0
84,2020-06-09,2020-07-08,599.6928,651.0
85,2020-06-10,2020-07-09,613.0232,616.0
86,2020-06-11,2020-07-10,606.50397,629.0
87,2020-06-12,2020-07-13,597.41095,611.0
88,2020-06-15,2020-07-14,590.3407599999999,609.0
89,2020-06-16,2020-07-15,586.3297,599.0
90,2020-06-17,2020-07-16,582.915,607.0
91,2020-06-18,2020-07-17,581.74274,601.0
92,2020-06-19,2020-07-20,581.529,637.0
93,2020-06-22,2020-07-21,591.05066,664.0
94,2020-06-23,2020-07-22,610.7158,677.0
95,2020-06-24,2020-07-23,624.8039,675.0
96,2020-06-29,2020-07-24,632.9496,728.0
97,2020-06-30,2020-07-27,646.4342,680.0
98,2020-07-01,2020-07-28,653.7366,682.0
99,2020-07-02,2020-07-29,641.6796,683.0
100,2020-07-03,2020-07-30,632.78754,701.0
101,2020-07-06,2020-07-31,634.45374,696.0
102,2020-07-07,2020-08-03,650.2091,732.0
103,2020-07-08,2020-08-04,660.0231,730.0
104,2020-07-09,2020-08-05,666.1062,732.0
105,2020-07-10,2020-08-06,670.0038,705.0
106,2020-07-13,2020-08-07,664.25867,706.0
107,2020-07-14,2020-08-10,654.9705,693.0
108,2020-07-15,2020-08-11,649.11285,680.0
109,2020-07-16,2020-08-12,643.21387,684.0
110,2020-07-17,2020-08-13,643.8973,680.0
111,2020-07-20,2020-08-14,641.53345,685.0
112,2020-07-21,2020-08-17,642.4911,617.0
113,2020-07-22,2020-08-18,621.7167400000001,609.0
114,2020-07-23,2020-08-19,599.7329,565.0
115,2020-07-24,2020-08-20,575.6713,604.0
