,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,375.1117,345.5
1,2020-02-07,2020-03-06,358.6302,319.99999999999994
2,2020-02-10,2020-03-09,330.4269,290.5
3,2020-02-11,2020-03-10,305.78885,265.0
4,2020-02-12,2020-03-11,275.07617,254.5
5,2020-02-13,2020-03-12,254.34996,229.5
6,2020-02-14,2020-03-13,236.33217000000002,252.0
7,2020-02-17,2020-03-16,229.10341,252.0
8,2020-02-18,2020-03-17,229.46036,274.0
9,2020-02-19,2020-03-18,241.36603,292.0
10,2020-02-20,2020-03-19,256.69467000000003,291.5
11,2020-02-21,2020-03-20,267.05582000000004,280.5
12,2020-02-24,2020-03-23,273.34225,278.0
13,2020-02-25,2020-03-24,271.33463,274.5
14,2020-02-26,2020-03-25,270.27777000000003,272.5
15,2020-02-27,2020-03-26,267.61987,288.0
16,2020-03-02,2020-03-27,266.78112999999996,299.5
17,2020-03-03,2020-03-30,269.55615,329.0
18,2020-03-04,2020-03-31,272.3724,335.0
19,2020-03-05,2020-04-01,281.61096000000003,343.0
20,2020-03-06,2020-04-06,296.65405,332.5
21,2020-03-09,2020-04-07,306.43436,338.0
22,2020-03-10,2020-04-08,312.17865,343.50000000000006
23,2020-03-11,2020-04-09,295.3359,341.5
24,2020-03-12,2020-04-10,294.85742,339.5
25,2020-03-13,2020-04-13,301.06686,343.0
26,2020-03-16,2020-04-14,311.75912,325.99999999999994
27,2020-03-17,2020-04-15,313.6485,344.0
28,2020-03-18,2020-04-16,311.5025,344.0
29,2020-03-19,2020-04-17,313.28616,345.00000000000006
30,2020-03-20,2020-04-20,316.95557,379.5
31,2020-03-23,2020-04-21,322.2721,383.5
32,2020-03-24,2020-04-22,328.80496,380.0
33,2020-03-25,2020-04-23,340.3889,391.0
34,2020-03-26,2020-04-24,350.10056000000003,391.5
35,2020-03-27,2020-04-27,354.42322,407.0
36,2020-03-30,2020-04-28,352.43695,416.0
37,2020-03-31,2020-04-29,363.5264,410.0
38,2020-04-01,2020-04-30,373.89493,403.5
39,2020-04-06,2020-05-04,380.12576,413.5
40,2020-04-07,2020-05-05,386.58832,406.0
41,2020-04-08,2020-05-06,388.18362,402.5
42,2020-04-09,2020-05-07,383.9124,385.5
43,2020-04-10,2020-05-08,374.22467,386.0
44,2020-04-13,2020-05-11,367.8352,369.0
45,2020-04-14,2020-05-12,360.75824,373.0
46,2020-04-15,2020-05-13,359.19717,384.5
47,2020-04-16,2020-05-14,355.80222000000003,382.0
48,2020-04-17,2020-05-15,359.78326,371.5
49,2020-04-20,2020-05-18,362.19092,376.0
50,2020-04-21,2020-05-19,357.10025,371.0
51,2020-04-22,2020-05-20,358.20218,376.0
52,2020-04-23,2020-05-21,360.6243,370.00000000000006
53,2020-04-24,2020-05-22,362.92825,370.5
54,2020-04-27,2020-05-25,361.783,385.5
55,2020-04-28,2020-05-26,362.95203,383.0
56,2020-04-29,2020-05-27,366.4269,392.00000000000006
57,2020-04-30,2020-05-28,370.11963,400.5
58,2020-05-04,2020-05-29,373.28122,387.5
59,2020-05-05,2020-06-01,370.88043,393.0
60,2020-05-06,2020-06-02,371.17377,392.5
61,2020-05-07,2020-06-03,376.5051,394.5
62,2020-05-08,2020-06-04,381.1593,383.5
63,2020-05-11,2020-06-05,379.4752,381.0
64,2020-05-12,2020-06-08,372.34274,382.0
65,2020-05-13,2020-06-09,371.28362999999996,396.0
66,2020-05-14,2020-06-10,373.60745,399.0
67,2020-05-15,2020-06-11,378.685,405.0
68,2020-05-18,2020-06-12,383.3943,404.5
69,2020-05-19,2020-06-15,387.38552999999996,396.50000000000006
70,2020-05-20,2020-06-16,385.54699999999997,406.0
71,2020-05-21,2020-06-17,383.04974,407.5
72,2020-05-22,2020-06-18,387.13596,391.0
73,2020-05-25,2020-06-19,385.47165,381.0
74,2020-05-26,2020-06-22,371.26804,379.5
75,2020-05-27,2020-06-23,367.93036,377.0
76,2020-05-28,2020-06-24,369.74005,377.0
77,2020-05-29,2020-06-29,372.9541,378.5
78,2020-06-01,2020-06-30,371.12982,392.5
79,2020-06-02,2020-07-01,369.4923,387.0
80,2020-06-03,2020-07-02,371.81137,379.5
81,2020-06-04,2020-07-03,372.95883,370.5
82,2020-06-05,2020-07-06,370.399,380.5
83,2020-06-08,2020-07-07,370.5347,374.0
84,2020-06-09,2020-07-08,371.61276000000004,374.5
85,2020-06-10,2020-07-09,373.67902000000004,377.0
86,2020-06-11,2020-07-10,375.47986000000003,379.0
87,2020-06-12,2020-07-13,376.41324,382.0
88,2020-06-15,2020-07-14,378.4919,388.0
89,2020-06-16,2020-07-15,379.50076,396.0
90,2020-06-17,2020-07-16,380.85208,389.5
91,2020-06-18,2020-07-17,382.78275,389.5
92,2020-06-19,2020-07-20,382.44556,406.0
93,2020-06-22,2020-07-21,380.5867,384.0
94,2020-06-23,2020-07-22,370.42843999999997,382.5
95,2020-06-24,2020-07-23,367.64127,381.5
96,2020-06-29,2020-07-24,372.21606,389.0
97,2020-06-30,2020-07-27,377.2647,390.0
98,2020-07-01,2020-07-28,382.03253,391.0
99,2020-07-02,2020-07-29,386.5968,397.5
100,2020-07-03,2020-07-30,386.77914,391.5
101,2020-07-06,2020-07-31,385.52856,390.0
102,2020-07-07,2020-08-03,379.99338,384.5
103,2020-07-08,2020-08-04,379.1109,385.5
104,2020-07-09,2020-08-05,381.7019,380.5
105,2020-07-10,2020-08-06,380.0165,376.5
106,2020-07-13,2020-08-07,377.60965,375.0
107,2020-07-14,2020-08-10,375.8793,379.0
108,2020-07-15,2020-08-11,377.63266,373.0
109,2020-07-16,2020-08-12,378.11096000000003,354.5
110,2020-07-17,2020-08-13,366.16747999999995,330.0
111,2020-07-20,2020-08-14,340.94912999999997,344.0
112,2020-07-21,2020-08-17,330.6209,333.5
113,2020-07-22,2020-08-18,329.76566,333.0
114,2020-07-23,2020-08-19,331.73699999999997,337.0
115,2020-07-24,2020-08-20,335.18854,336.5
116,2020-07-27,2020-08-21,337.73306,340.50000000000006
117,2020-07-28,2020-08-24,339.18643,333.0
118,2020-07-29,2020-08-25,336.4659,337.0
119,2020-07-30,2020-08-26,333.59848,335.0
120,2020-07-31,2020-08-27,333.63300000000004,344.0
121,2020-08-03,2020-08-28,335.96112,340.0
122,2020-08-04,2020-08-31,338.01592999999997,335.5
123,2020-08-05,2020-09-01,339.97222999999997,350.0
124,2020-08-06,2020-09-02,340.21695,350.5
125,2020-08-07,2020-09-03,341.61627000000004,345.00000000000006
126,2020-08-10,2020-09-04,344.30685,349.49999999999994
127,2020-08-11,2020-09-07,346.80417,358.5
128,2020-08-12,2020-09-08,350.31158,355.5
129,2020-08-13,2020-09-09,354.1055,353.0
130,2020-08-14,2020-09-10,355.76412999999997,357.5
131,2020-08-17,2020-09-11,355.32397000000003,357.0
132,2020-08-18,2020-09-14,357.4018,347.99999999999994
133,2020-08-19,2020-09-15,356.47402999999997,344.0
134,2020-08-20,2020-09-16,351.65927,341.5
135,2020-08-21,2020-09-17,348.59564,331.0
136,2020-08-24,2020-09-18,342.32552999999996,324.0
137,2020-08-25,2020-09-21,335.34912,331.5
138,2020-08-26,2020-09-22,332.6034,347.99999999999994
139,2020-08-27,2020-09-23,333.81293,351.5
140,2020-08-28,2020-09-24,339.65735,354.5
141,2020-08-31,2020-09-25,346.93262000000004,355.5
142,2020-09-01,2020-09-28,353.39673,356.0
143,2020-09-02,2020-09-29,357.10828,363.0
144,2020-09-03,2020-09-30,357.5399,353.0
145,2020-09-04,2020-10-05,355.84006,356.5
146,2020-09-07,2020-10-06,354.13144,354.0
147,2020-09-08,2020-10-07,355.3056,354.0
148,2020-09-09,2020-10-08,356.02097000000003,359.5
149,2020-09-10,2020-10-12,355.58853,360.0
150,2020-09-11,2020-10-13,358.2336,360.0
151,2020-09-14,2020-10-14,360.9042,356.5
152,2020-09-15,2020-10-15,362.50406,354.5
153,2020-09-16,2020-10-16,361.26102000000003,354.0
154,2020-09-17,2020-10-19,360.52617999999995,363.0
155,2020-09-18,2020-10-20,360.26636,359.0
156,2020-09-21,2020-10-21,359.68442000000005,357.0
157,2020-09-22,2020-10-22,360.29547,350.99999999999994
158,2020-09-23,2020-10-23,357.59457000000003,355.5
159,2020-09-24,2020-10-26,355.35226,352.5
160,2020-09-25,2020-10-27,355.9539,377.5
161,2020-09-28,2020-10-28,351.65414,381.5
162,2020-09-29,2020-10-29,354.86047,386.5
163,2020-09-30,2020-10-30,364.34647,381.5
164,2020-10-05,2020-11-02,373.14532,388.0
165,2020-10-06,2020-11-03,379.49917999999997,388.0
166,2020-10-07,2020-11-04,382.33926,392.5
167,2020-10-08,2020-11-05,381.52405,395.5
168,2020-10-12,2020-11-06,383.87802,397.0
169,2020-10-13,2020-11-09,388.41534,396.50000000000006
170,2020-10-14,2020-11-10,392.22986000000003,398.5
171,2020-10-15,2020-11-11,394.92224,399.5
172,2020-10-16,2020-11-12,398.1116,404.0
173,2020-10-19,2020-11-13,398.9143,412.0
