,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,111.45173,111.5
1,2020-02-07,2020-03-06,110.33883999999999,113.0
2,2020-02-10,2020-03-09,109.65253999999999,113.0
3,2020-02-11,2020-03-10,109.39719,114.0
4,2020-02-12,2020-03-11,109.64931000000001,111.5
5,2020-02-13,2020-03-12,109.73087,115.5
6,2020-02-14,2020-03-13,110.08665500000001,117.5
7,2020-02-17,2020-03-16,111.32071,116.0
8,2020-02-18,2020-03-17,112.63121000000001,116.5
9,2020-02-19,2020-03-18,113.642555,116.5
10,2020-02-20,2020-03-19,114.06688999999999,119.0
11,2020-02-21,2020-03-20,114.54536,119.0
12,2020-02-24,2020-03-23,115.165375,122.5
13,2020-02-25,2020-03-24,116.34643600000001,124.0
14,2020-02-26,2020-03-25,117.84781000000001,123.5
15,2020-02-27,2020-03-26,119.24722,124.5
16,2020-03-02,2020-03-27,120.39477,126.0
17,2020-03-03,2020-03-30,121.437744,129.5
18,2020-03-04,2020-03-31,122.743324,125.0
19,2020-03-05,2020-04-01,123.68341000000001,124.0
20,2020-03-06,2020-04-06,122.9643,123.0
21,2020-03-09,2020-04-07,121.82783500000001,127.5
22,2020-03-10,2020-04-08,121.37664,127.0
23,2020-03-11,2020-04-09,121.832306,128.0
24,2020-03-12,2020-04-10,122.70129399999999,127.0
25,2020-03-13,2020-04-13,123.62826499999998,128.0
26,2020-03-16,2020-04-14,124.26161,118.5
27,2020-03-17,2020-04-15,122.39303999999998,119.0
28,2020-03-18,2020-04-16,119.6957,120.0
29,2020-03-19,2020-04-17,117.31721999999999,125.0
30,2020-03-20,2020-04-20,116.61063999999999,126.0
31,2020-03-23,2020-04-21,117.7243,126.5
32,2020-03-24,2020-04-22,119.83091999999999,127.0
33,2020-03-25,2020-04-23,122.00753999999999,129.0
34,2020-03-26,2020-04-24,123.869095,128.5
35,2020-03-27,2020-04-27,125.19963999999999,128.0
36,2020-03-30,2020-04-28,125.685974,127.5
37,2020-03-31,2020-04-29,125.61175,125.0
38,2020-04-01,2020-04-30,124.69884499999999,125.5
39,2020-04-06,2020-05-04,123.59103,123.5
40,2020-04-07,2020-05-05,122.27145,123.5
41,2020-04-08,2020-05-06,121.15495,123.5
42,2020-04-09,2020-05-07,120.51811000000001,123.0
43,2020-04-10,2020-05-08,120.179115,124.0
44,2020-04-13,2020-05-11,120.07548500000001,126.0
45,2020-04-14,2020-05-12,120.60225,126.0
46,2020-04-15,2020-05-13,121.49059,125.0
47,2020-04-16,2020-05-14,122.17901599999999,123.0
48,2020-04-17,2020-05-15,122.27101,123.0
49,2020-04-20,2020-05-18,121.79751599999999,121.5
50,2020-04-21,2020-05-19,120.77708999999999,124.5
51,2020-04-22,2020-05-20,120.00752,124.5
52,2020-04-23,2020-05-21,119.90136000000001,122.5
53,2020-04-24,2020-05-22,119.9541,121.0
54,2020-04-27,2020-05-25,119.624306,123.5
55,2020-04-28,2020-05-26,119.44266,125.5
56,2020-04-29,2020-05-27,119.71210500000001,125.5
57,2020-04-30,2020-05-28,120.54798999999998,124.0
58,2020-05-04,2020-05-29,121.22105,124.0
59,2020-05-05,2020-06-01,121.57467,124.0
60,2020-05-06,2020-06-02,121.71436000000001,124.0
61,2020-05-07,2020-06-03,121.54223999999999,132.5
62,2020-05-08,2020-06-04,122.923775,132.0
63,2020-05-11,2020-06-05,124.95668,136.0
64,2020-05-12,2020-06-08,127.41418999999999,135.0
